site_description,site,unit,unitclass,commodity_group,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M,source,statistic,metric
SPJ,SPJ,CWT,Weight,1VNL,0.7954405666761587,0.2501417684176017,0.1938746080469686,0.1559637427193204,0.15596296652723465,0.12225144924967715,0.1018558987433677,0.10170156557578813,0.07704503411645472,0.06720829115645913,georgia_historical_xgs_wavg,0.10028924667226514,weighted average
SPJ,SPJ,CWT,Weight,1VNL,3.4862888482632477,0.2501452743120828,0.1938765627155541,0.15596485057416087,0.1559635701528273,0.12225171910923269,0.10185606270281632,0.10185615841698531,0.07704503411645472,0.06767181556285536,georgia_historical_xgs_q3,0.319805467046788,Q3
SPJ,SPJ,CWT,Weight,1VNL,1.4404418052256454,0.2651504308160151,0.2055072985301562,0.16532190381174922,0.16532074315986836,0.13480728475935497,0.10796727848533257,0.10796742562685174,0.081667736163442,0.07144449822852011,recommended_median,0.1712560821084635,median
SPJ,SPJ,CWT,Weight,1VNL,1.0098531313769996,0.32427430257196643,0.20550708452978672,0.16532156728247963,0.16532074451886875,0.136557034334609,0.10796725266796976,0.10780365951033542,0.081667736163442,0.07124078862584668,recommended_wavg,0.10630660147260106,weighted average
SPJ,SPJ,CWT,Weight,1VNL,6.64298534385569,0.2709649209642248,0.20550915647848736,0.1858523478600849,0.17593225525573009,0.17773532167067188,0.1079674264649853,0.10796752792200444,0.081667736163442,0.07173212449662668,recommended_q3,0.6390308319458,Q3
SPJ,SPJ,CWT,Weight,1VNL,,,,,,,,,,,recommended_min,0.10630660147260106,unknown
SPJ,SPJ,CWT,Weight,1VNL,,,,,,,,,,,recommended_middle,0.1712560821084635,unknown
SPJ,SPJ,CWT,Weight,1VNL,,,,,,,,,,,recommended_max,0.6390308319458,unknown
Norcross,SPN,CWT,Weight,1VNL,0.16316150943396227,0.1486316037735849,0.11050726415094338,0.08344698113207548,0.08344698113207548,0.06625103773584905,0.056120094339622624,0.056120094339622624,0.056120094339622624,0.056120094339622624,vendor,,baseline
Norcross,SPN,CWT,Weight,1VNL,0.16316150943396227,0.1486316037735849,0.11050726415094338,0.08344698113207548,0.08344698113207548,0.06625103773584905,0.056120094339622624,0.056120094339622624,0.056120094339622624,0.056120094339622624,vendor,,baseline
Norcross,SPN,CWT,Weight,1VNL,0.16316150943396227,0.1486316037735849,0.11050726415094338,0.08344698113207548,0.08344698113207548,0.06625103773584905,0.056120094339622624,0.056120094339622624,0.056120094339622624,0.056120094339622624,vendor,,baseline
SPN,SPN,CWT,Weight,1VNL,0.46025128237725116,0.19770926579744758,0.11733574071551128,0.0815032011845425,0.06469563723642324,0.06461587525384968,0.04573189456179756,0.04156523482562196,0.04174473260362224,0.01786347094822056,georgia_historical_market_median,0.1498052958614215,median
